date,price
2021년 02월 18일,1106.67
2021년 02월 17일,1107.65
2021년 02월 16일,1103.23
2021년 02월 15일,1103.35
2021년 02월 12일,1104.66
2021년 02월 11일,1105.035
2021년 02월 10일,1108.875
2021년 02월 09일,1114.415
2021년 02월 08일,1119.11
2021년 02월 05일,1122.035
2021년 02월 04일,1117.61
2021년 02월 03일,1114.525
2021년 02월 02일,1116.675
2021년 02월 01일,1118.265
2021년 01월 29일,1116.955
2021년 01월 28일,1114.425
2021년 01월 27일,1105.385
2021년 01월 26일,1104.355
2021년 01월 25일,1102.985
2021년 01월 22일,1103.12
2021년 01월 21일,1099.63
2021년 01월 20일,1100.135
2021년 01월 19일,1103.185
2021년 01월 18일,1105.35
2021년 01월 15일,1100.13
2021년 01월 14일,1098.675
2021년 01월 13일,1095.85
2021년 01월 12일,1098.215
2021년 01월 11일,1096.89
2021년 01월 08일,1094
2021년 01월 07일,1091.1
2021년 01월 06일,1086.85
2021년 01월 05일,1086.185
2021년 01월 04일,1084.16
2021년 01월 01일,1085.675
2020년 12월 31일,1086.66
2020년 12월 30일,1089.22
2020년 12월 29일,1094.6
2020년 12월 28일,1098.53
2020년 12월 25일,1101.42
2020년 12월 24일,1103.975
2020년 12월 23일,1107.865
2020년 12월 22일,1106.755
2020년 12월 21일,1105.34
2020년 12월 18일,1096.56
2020년 12월 17일,1092.85
2020년 12월 16일,1092.3
2020년 12월 15일,1092.315
2020년 12월 14일,1091.88
2020년 12월 11일,1089.915
2020년 12월 10일,1088.025
2020년 12월 09일,1084.895
2020년 12월 08일,1085.14
2020년 12월 07일,1084.37
2020년 12월 04일,1087.14
2020년 12월 03일,1095.805
2020년 12월 02일,1103.115
2020년 12월 01일,1107.775
2020년 11월 30일,1106.77
2020년 11월 27일,1104.95
2020년 11월 26일,1105.95
2020년 11월 25일,1108.1
2020년 11월 24일,1111.38
2020년 11월 23일,1113.365
2020년 11월 20일,1115.09
2020년 11월 19일,1112.585
2020년 11월 18일,1104.725
2020년 11월 17일,1106.185
2020년 11월 16일,1107.825
2020년 11월 13일,1112.075
2020년 11월 12일,1113.385
2020년 11월 11일,1113.53
2020년 11월 10일,1116.945
2020년 11월 09일,1116.385
2020년 11월 06일,1122.815
2020년 11월 05일,1128.005
2020년 11월 04일,1136.645
2020년 11월 03일,1133.475
2020년 11월 02일,1135.095
2020년 10월 30일,1132.695
2020년 10월 29일,1133.135
2020년 10월 28일,1132.77
2020년 10월 27일,1129.06
2020년 10월 26일,1130.61
2020년 10월 23일,1131.585
2020년 10월 22일,1134.755
2020년 10월 21일,1135.355
2020년 10월 20일,1139.565
2020년 10월 19일,1140.61
2020년 10월 16일,1144.435
2020년 10월 15일,1145.495
2020년 10월 14일,1146.14
2020년 10월 13일,1148.195
2020년 10월 12일,1147.625
2020년 10월 09일,1146.865
2020년 10월 08일,1154.87
2020년 10월 07일,1161.35
2020년 10월 06일,1161.245
2020년 10월 05일,1161.96
2020년 10월 02일,1165.23
2020년 10월 01일,1163.27
2020년 09월 30일,1167.655
2020년 09월 29일,1168.99
2020년 09월 28일,1171.02
2020년 09월 25일,1173.19
2020년 09월 24일,1171.695
2020년 09월 23일,1166.575
2020년 09월 22일,1162.48
2020년 09월 21일,1162.385
2020년 09월 18일,1165.09
2020년 09월 17일,1173.305
2020년 09월 16일,1175.915
2020년 09월 15일,1180.135
2020년 09월 14일,1184.535
2020년 09월 11일,1187.935
2020년 09월 10일,1186.305
2020년 09월 09일,1187.92
2020년 09월 08일,1188.335
2020년 09월 07일,1187.76
2020년 09월 04일,1190.075
2020년 09월 03일,1189.015
2020년 09월 02일,1187.945
2020년 09월 01일,1185.185
2020년 08월 31일,1183.89
2020년 08월 28일,1184.16
2020년 08월 27일,1185.665
2020년 08월 26일,1186.55
2020년 08월 25일,1187.46
2020년 08월 24일,1189.75
2020년 08월 21일,1188.305
2020년 08월 20일,1186.22
2020년 08월 19일,1180.305
2020년 08월 18일,1184.795
2020년 08월 17일,1185.45
2020년 08월 14일,1185.99
2020년 08월 13일,1183.78
2020년 08월 12일,1185.05
2020년 08월 11일,1184.83
2020년 08월 10일,1186.77
2020년 08월 07일,1187.175
2020년 08월 06일,1184.99
2020년 08월 05일,1188.56
2020년 08월 04일,1194.15
2020년 08월 03일,1194.05
2020년 07월 31일,1191.19
2020년 07월 30일,1192.905
2020년 07월 29일,1194.905
2020년 07월 28일,1196.13
2020년 07월 27일,1198.22
2020년 07월 24일,1201.65
2020년 07월 23일,1199.715
2020년 07월 22일,1196.1
2020년 07월 21일,1197.18
2020년 07월 20일,1203.695
2020년 07월 17일,1205.135
2020년 07월 16일,1203.84
2020년 07월 15일,1202.15
2020년 07월 14일,1205.905
2020년 07월 13일,1201.585
